LocusName,ForwardPrimer,ReversePrimer
TGME49_300340,xcz,zxcc
TGME49_300285,,
RPL37A,,
TGME49_300150,,
TGME49_300130,,
TGME49_300110,,
RON2,,
TGME49_300040,,
RPL18,,
TGME49_307780,,
TGME49_307810,,
TGME49_307840,,
TGME49_308010,,
SRS57,,
TGME49_308060,,
TGME49_308070,,
ROP5,,
TGME49_219840,,
TGME49_219780,,
TGME49_219738,,
TGME49_219630,,
TGME49_219540,,
PRMT1,,
TGME49_219460,,
GAP50,,
ALP1,,
TGME49_219140,,
TGME49_219110,,
TGME49_219100,,
AP2XII1,,
TGME49_218950,,
TGME49_218910,,
RPS9,,
MSH1,,
TGME49_218740,,
CDPK6,,
ACC2,,
TGME49_218530,,
MIC6,,
TGME49_218510,,
TGME49_218490,,
RPP0,,
TGME49_218370,,
MIC14,,
TGME49_218270,,
TGME49_218195,,
TGME49_218188,,
PI1,,
GTF2H5,,
TGME49_217500,,
POLR2L,,
RPS27,,
POLR3F,,
CDPK9,,
TGME49_217610,,
TGME49_217630,,
RPS6,,
AP2XII2,,
TGME49_217720,,
TGME49_217770,,
TGME49_217880,,
RPS8,,
MIC9,,
MIC8,,
ROM6,,
RPS27A,,
PDHE1A,,
RPL21,,
TGME49_245730,,
TGME49_245770,,
MED17,,
TGME49_246040,,
POLRMT,,
SRS56,,
TGME49_246182,,
TGME49_246540,,
ASP3,,
TGME49_246555,,
TGME49_246570,,
RPA43,,
TGME49_246640,,
TGME49_246650,,
AP2XII3,,
TGME49_246740,,
TGME49_246763,,
CAM1,,
TGME49_247000,,
TGME49_247015,,
TGME49_247030,,
TGME49_247040,,
MIC15,,
PCNA1,,
TGME49_247530,,
ABCG107,,
HSP60,,
TGME49_247580,,
TGME49_247620,,
AP2XII4,,
TGME49_247710,,
AP2XII5,,
TGME49_247750,,
RPL26,,
SUB6,,
RPS9,,
TGME49_248520,,
TGME49_248620,,
ARP1,,
TGME49_248660,,
IMC12,,
TGME49_248740,,
SUB7,,
TGME49_248810,,
PIPLC,,
RAB7,,
ALP3B,,
TGME49_248990,,
TGME49_249000,,
TGME49_249030,,
TGME49_249180,,
AP2XII6,,
RPL35A,,
TGME49_249450,,
TGME49_249460,,
TGME49_249510,,
RPOA,,
TGME49_249610,,
HDAC2,,
TGME49_249650,,
TGME49_249665,,
PAF1,,
TGME49_249725,,
TGME49_249760,,
GAP40,,
TGME49_249910,,
TGME49_249960,,
TGME49_250040,,
RPA12,,
TGME49_250685,,
MIC10,,
TGME49_250740,,
TGME49_250770,,
AP2XII8,,
RPL35,,
TGME49_251390,,
TGME49_251410,,
TGME49_251490,,
GRA9,,
AP2XII9,,
TGME49_251885,,
TGME49_251910,,
ENR,,
SRS59B,,
SRS59K,,
SRS59J,,
TGME49_278965,,
TGME49_278920,,
TGME49_278900,,
TGME49_278800,,
TGME49_278730,,
TGME49_278690,,
TGME49_278660,,
TGME49_278565,,
TGME49_278522,,
TGME49_278450,,
TGME49_278320,,
TGME49_278100,,
TGME49_277840,,
TGME49_277710,,
TGME49_277705,,
TGME49_277685,,
TGME49_277572,,
TGME49_277090,,
MIC5,,
TGME49_277060,,
TGME49_276980,,
TGME49_276900,,
TGME49_276860,,
TGME49_276840,,
TGME49_276820,,
